Date,Open,High,Low,Close,Volume
1997-05-23,1343.32,1389.75,1335.95,1389.72,682172496
1997-05-30,1388,1414.26,1352.65,1400.32,651527488
1997-06-06,1407.07,1408.49,1375.45,1404.84,720702496
1997-06-13,1410.69,1426.73,1394.44,1423.03,767912512
1997-06-20,1423.74,1453.39,1421.74,1447.1,742792496
1997-06-27,1444.84,1467.29,1433.33,1438.15,754570016
1997-07-04,1439.47,1469.36,1432.07,1467.61,555050016
1997-07-11,1472.61,1503.31,1466.57,1502.62,794537504
1997-07-18,1506.97,1582.63,1506.97,1547.99,915037504
1997-07-25,1548.1,1578.03,1530.23,1569.58,821412496
1997-08-01,1573.09,1599.03,1557.56,1594.33,802115008
1997-08-08,1593.09,1638.26,1586.6,1598.52,886157488
1997-08-15,1599.16,1601.15,1561.85,1562.03,753987504
1997-08-22,1563.45,1628.81,1545.13,1598.69,811390000
1997-08-29,1601.11,1610.9,1572.09,1587.32,757570016
1997-09-05,1595.07,1639.9,1595.07,1635.77,637637504
1997-09-12,1641.72,1659.37,1620.52,1649.33,870662496
1997-09-19,1649.76,1680.37,1634.76,1680.36,894254976
1997-09-26,1684.31,1702.49,1675.56,1682.24,913662512
1997-10-03,1685.3,1726.59,1680.62,1715.87,964044992
1997-10-10,1722.39,1748.78,1716.6,1739.03,941692496
1997-10-17,1744.88,1747.85,1645.87,1666.85,993552512
1997-10-24,1675.16,1717.3,1642.69,1650.92,1000757520
1997-10-31,1650.92,1650.92,1465.84,1593.61,1166520016
1997-11-07,1609.62,1644.42,1587.31,1602.4,818010000
1997-11-14,1609.77,1616.82,1508.41,1583.51,835407504
1997-11-21,1601.95,1654.43,1583.47,1620.75,786940000
1997-11-28,1612.94,1620.75,1580.27,1600.55,481552500
1997-12-05,1608.56,1633.91,1591.05,1633.9,834302496
1997-12-12,1639.39,1652.84,1533.62,1536.58,940575008
1997-12-19,1540.41,1568.54,1486.51,1524.74,967479984
1997-12-26,1533.46,1544.45,1497.67,1511.38,439567512
1998-01-02,1521.79,1581.53,1521.79,1581.53,658262488
1998-01-09,1585.77,1602.51,1497.37,1503.22,866777488
1998-01-16,1482.01,1564.96,1465.61,1562.88,873180000
1998-01-23,1567.8,1590.48,1567.8,1575.93,685057488
1998-01-30,1578.33,1629.54,1556.91,1619.36,900970000
1998-02-06,1640.06,1701.2,1640.06,1694.35,1003130016
1998-02-13,1699.92,1715.11,1686.21,1710.42,934252512
1998-02-20,1721.02,1731.84,1700.91,1728.13,716020000
1998-02-27,1744.21,1783.74,1735.57,1770.51,987632496
1998-03-06,1778.72,1781.07,1708.48,1753.49,981782496
1998-03-13,1747.94,1780.9,1725.16,1771.66,971537504
1998-03-20,1779.41,1807.03,1768.78,1789.16,948219984
1998-03-27,1784.95,1840.83,1783.19,1823.62,967614992
1998-04-03,1823.79,1865.8,1814.41,1855.4,1028382496
1998-04-10,1859.24,1861.12,1788.74,1820.24,753247504
1998-04-17,1824.07,1866.92,1810.26,1866.6,994562496
1998-04-24,1869.01,1931.83,1860.26,1868.96,1117777488
1998-05-01,1868.96,1875.52,1804.14,1873.44,996994992
1998-05-08,1880.12,1890.8,1832.17,1864.37,931434992
1998-05-15,1870.01,1878.5,1839.21,1846.77,935142496
1998-05-22,1838.53,1852.27,1801.62,1805,839397504
1998-05-29,1813.53,1817.92,1742.05,1778.87,694817488
1998-06-05,1770.37,1782.92,1741.1,1782.92,869602512
1998-06-12,1783.47,1801.04,1715.71,1745.05,872622480
1998-06-19,1726.57,1787.06,1715.04,1781.29,893657488
1998-06-26,1782.56,1894.71,1777.23,1869.53,958575008
1998-07-03,1880.59,1914.46,1878.87,1894,793042496
1998-07-10,1898.63,1951.07,1893.31,1943.04,973632496
1998-07-17,1948.32,2010.61,1926.44,2008.76,1061087504
1998-07-24,2013.48,2028.18,1909.56,1930.99,1019660016
1998-07-31,1916.31,1937.93,1871.72,1872.39,932310016
1998-08-07,1869.72,1870.65,1750.81,1846.77,1016427504
1998-08-14,1847.21,1850.1,1775.24,1790.19,824777504
1998-08-21,1784.91,1874.31,1767.11,1797.61,887650000
1998-08-28,1803.77,1818.03,1624,1639.68,956734992
